edition_id,date_decoded,source,source_url,issue_code,stance,actors_named,women_source_or_subject,dev_flag,headline_verbatim,notes
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,INTL,,Mwai Kibaki; Raila Odinga,no,no,Mwai Kibaki declared winner sworn in,Regional lead; Kenya election crisis; protest photo
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,POL,UNF,Kahinda Otafiire,no,yes,Kahinda Otafiire voted worst minister,Reader survey n=3077; Kampala market sales controversy
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,POL,NEU,Yoweri Museveni; Kabaka Ronald Mutebi,no,yes,Museveni accepts dialogue on land,Land-law impasse; dialogue promised
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,POL,NEU,Alice Alaso; FDC,yes,no,Drama at Soroti MP Alice Alaso wedding,FDC secretary general; human-interest
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,SEC,,,no,no,Police foil robbery of sh1.7b in Gulu,RRU; 17 arrests; 3 guns
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,ECO,,,yes,no,New strategy for energy crisis,Load-shedding; new generation capacity
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,ECO,,,yes,no,Govt told to give incentives to SMEs,UMA chairman James Kalibbala
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,SPO,,,no,no,SC Villa bounce back with narrow win,Super Division league
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,SPO,,,no,no,Olympics: Beijing pollution levels down,Blue-sky days target
NV-WB-2007-12-31,2007-12-31,Wayback 20071231175336,https://web.archive.org/web/20071231175336/http://www.newvision.co.ug/,ENV,,,yes,no,2007 round-up: Global warming taken seriously,Gwynne Dyer column
